Actual,Predicted
89178.36,92119.03665293497
78567.0,79504.2841981225
22202.28,23620.902733834257
66015.11,67169.58632830081
81524.51,83221.03282268016
113209.05,111593.66136118001
4726.28,1255.3167341749722
64464.6,65594.8596007463
2902.0,1333.2444773641328
94993.01,94347.56641052112
79742.53,80671.48127908894
24098.82,21977.20030263853
58217.54,56035.4276905945
10220.7,9516.31130414443
12122.48,10925.384858780111
45872.44,47157.938457312215
80878.5,81152.36019176542
22765.62,24041.32383400177
9940.0,9117.108475284964
96883.86,96607.79729217595
128881.45,129741.48089355914
24892.12,24147.87922013708
103197.4,99930.19425771621
79007.31,78971.44393788668
19690.49,18823.277348598567
57978.99,60612.84951797106
16789.37,16778.269184897566
20922.59,19264.672880574217
33740.49,30546.920952153894
93123.57,90775.46041016931
4421.62,4861.096286255757
792.78,-2296.8531306623336
64315.85,61946.21695383792
7516.32,4504.494793151236
10676.35,11016.359269938017
62713.12,65359.26411179534
49188.02,52244.886688363964
82488.39,80677.51692067165
115050.02,117003.2291610241
115941.76,112305.94171551804
53561.75,52958.60723092902
35817.22,36383.96625501715
138.9,562.1260414290446
100432.84,99193.1833905314
16398.39,15480.020063598226
120875.97,118620.97664973153
88432.01,87785.09977282672
934.19,1810.3471592034548
68431.63,68775.07722834744
137134.89,131649.45486637444
54793.0,59507.93608755553
126893.5,126242.42598525385
68069.07,68110.89874879661
77104.69,78176.74612227285
82374.3,81720.75689416574
0.0,-2203.97458695354
3911.1,3464.956264604858
1387.0,1790.0779147067224
4551.52,3407.3646257232685
18594.0,18309.86045205932
2892.91,1793.6937521414293
54643.57,53067.8567926527
31854.21,33549.46594777852
19826.63,17890.494990160754
74598.99,72079.92750975784
2741.32,2182.1583574618053
168419.81,168235.33219020802
57767.34,56776.96877783877
35935.1,38859.259124916454
133332.0,129165.12265543999
109634.04,109964.78577784334
75900.3,73351.27472059
34003.3,31639.37287655644
70361.24,73023.4101143051
114616.09,112641.69202640656
64598.82,66333.76938314011
83563.3,86867.17802185507
32630.44,29094.51293491543
