iter	Passed	Remaining
881	7182	960
882	7190	952
883	7198	944
884	7206	936
885	7213	928
886	7220	919
887	7228	911
888	7237	903
889	7245	895
890	7254	887
891	7261	879
892	7269	871
893	7277	862
894	7285	854
895	7294	846
896	7302	838
897	7310	830
898	7319	822
899	7326	814
900	7334	805
901	7341	797
902	7348	789
903	7356	781
904	7364	773
905	7371	764
906	7381	756
907	7390	748
908	7398	740
909	7406	732
910	7415	724
911	7423	716
912	7430	708
913	7438	699
914	7445	691
915	7453	683
916	7460	675
917	7468	667
918	7475	658
919	7484	650
920	7492	642
921	7502	634
922	7509	626
923	7517	618
924	7525	610
925	7534	602
926	7542	593
927	7552	585
928	7560	577
929	7568	569
930	7575	561
931	7583	553
932	7590	545
933	7598	536
934	7605	528
935	7613	520
936	7620	512
937	7629	504
938	7636	496
939	7645	488
940	7654	479
941	7661	471
942	7670	463
943	7677	455
944	7684	447
945	7692	439
946	7700	430
947	7707	422
948	7716	414
949	7723	406
950	7731	398
951	7739	390
952	7747	382
953	7755	373
954	7764	365
955	7771	357
956	7780	349
957	7788	341
958	7798	333
959	7805	325
960	7814	317
961	7822	308
962	7830	300
963	7838	292
964	7847	284
965	7854	276
966	7864	268
967	7871	260
968	7881	252
969	7889	244
970	7898	235
971	7905	227
972	7916	219
973	7925	211
974	7934	203
975	7943	195
976	7952	187
977	7962	179
978	7969	170
979	7978	162
980	7987	154
981	7995	146
982	8003	138
983	8012	130
984	8019	122
985	8028	113
986	8036	105
987	8045	97
988	8052	89
989	8061	81
990	8069	73
991	8080	65
992	8087	57
993	8098	48
994	8105	40
995	8175	32
996	8197	24
997	8206	16
998	8220	8
999	8230	0
